ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (kg)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,Brands
159,simple,'-&&&é'çç'&-'é,,"Pate coude Al Itka 500G",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
160,simple,'-&&&é'çç'&à((,,"Pate coquillette Al Itka 500",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
161,simple,'-&&&é'çç'à_(à,,"Lsane Oiseaux Al Itka 500g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
162,simple,'-&&&é'çç'à_ç_,,"Pate Petit plomb Al Itka 500g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
163,simple,"'-&&&é'çç'àçè""",,"Pate vermic Al Itka 500g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
170,simple,'-&&&é'çç'éèèç,,"Pate Coquillages 500g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
171,simple,"'-&&&é'çç'éèç""",,"Regatoni Al Itka 500g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
172,simple,"'-&&&é'çç'&&""à",,"Pate Penne Al Itka 500g",1,0,hidden,,,,,taxable,,1,11,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
173,simple,'-&&&é'çç'éé-è,,"Spaghetti Al Itka 250g",1,0,hidden,,,,,taxable,,1,40,,0,0,,,,,1,,,7,Uncategorized,,,,,,,,,,,,0,
174,simple,,,"Spaghetti ble complet Al Itka 500g",1,0,hidden,,,,,taxable,,1,20,,0,0,,,,,1,,,14,Uncategorized,,,,,,,,,,,,0,
175,simple,'-&&&é'çç'ééè',,"Spaghetti Al Itka 500g",1,0,hidden,,,,,taxable,,1,24,,0,0,,,,,1,,,12,Uncategorized,,,,,,,,,,,,0,
176,simple,"'-&&&é'çç'(ç""à",,"The Tiyay Al Itka 200g",1,0,hidden,,,,,taxable,,1,100,,0,0,,,,,1,,,19,Uncategorized,,,,,,,,,,,,0,
177,simple,"'-&&&&_ààà""''è",,"Bouillon Bio Boeuf damty",1,0,hidden,,,,,taxable,,1,36,,0,0,,,,,1,,,2,Uncategorized,,,,,,,,,,,,0,
178,simple,"'-&&&&_ààà""_""-",,"Flan japan 9Pcs",1,0,hidden,,,,,taxable,,1,4,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
179,simple,"'-&&&&_ààà""éèà",,"Flan Japan 1Pc",1,0,hidden,,,,,taxable,,1,36,,0,0,,,,,1,,,2,Uncategorized,,,,,,,,,,,,0,
180,simple,'-&&&&_àààà'_',,"Flan Ideal Caramel",1,0,hidden,,,,,taxable,,1,24,,0,0,,,,,1,,,2,Uncategorized,,,,,,,,,,,,0,
181,simple,'-&&&é(çà_'çàé,,"Lunchon Dinde D-lys Gastro M",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
182,simple,"'-&&&&_ààà""_éç",,"Flan Vanille Ideal",1,0,hidden,,,,,taxable,,1,24,,0,0,,,,,1,,,2,Uncategorized,,,,,,,,,,,,0,
183,simple,'-&&&&_àààè-(à,,"Poudre de cacao Ideal 35g",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
184,simple,"'-&&&&_ààà&(è""",,"Puree Ideal 118g",1,0,hidden,,,,,taxable,,1,4,,0,0,,,,,1,,,14,Uncategorized,,,,,,,,,,,,0,
185,simple,"'-&&&&_àààà""çé",,"Sucre vanille Ideal 75g",1,0,hidden,,,,,taxable,,1,15,,0,0,,,,,1,,,5,Uncategorized,,,,,,,,,,,,0,
186,simple,"'-&&&&_àà&""ç(_",,"Sucre fleur d oranger 75g",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
187,simple,'-&&&&_'ààçç&ç,,"Confit Fruit rouge El Baraka 430g",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,18,Uncategorized,,,,,,,,,,,,0,
188,simple,'-&&&&_'ààà&çà,,"Confit Abricot Al Baraka 240g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,9,Uncategorized,,,,,,,,,,,,0,
189,simple,"'-&&&&_'àà'(-""",,"Thon Tomate Pescada 80g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
190,simple,"'-&&&&_'àà""_(-",,"Thon Huile Pescada 80g",1,0,hidden,,,,,taxable,,1,11,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
191,simple,"'-&&&&_'ààè_""à",,"Thon Sauce piq Pescada 80g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
192,simple,'-&&&&_'àà(&(è,,"Thon Filet entier star huile 125g",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,16,Uncategorized,,,,,,,,,,,,0,
193,simple,"'-&&&&_'àà'è""à",,"Ketchup Star 310g Sans Gluten",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,15,Uncategorized,,,,,,,,,,,,0,
194,simple,'-&&&&_'ààè'_ç,,"Ketchup Star 190g",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
195,simple,'-&&&&_'àà&&çè,,"Mayonaise Star Original 90ml",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,7,Uncategorized,,,,,,,,,,,,0,
196,simple,'-&&&&_'ààà-&ç,,"Mayonnaise Star 185 ml",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,11,Uncategorized,,,,,,,,,,,,0,
197,simple,'-&&&&_'àà'&éç,,"Mayonnaise Star Tube 280ml",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,16,Uncategorized,,,,,,,,,,,,0,
198,simple,'-&&&&_'à&à('à,,"Moutarde au miel Tube 305g",1,0,hidden,,,,,taxable,,1,4,,0,0,,,,,1,,,19,Uncategorized,,,,,,,,,,,,0,
199,simple,"'-&&&&_'àà&éà""",,"Moutarde Star 100g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,7,Uncategorized,,,,,,,,,,,,0,
200,simple,'-&&&&_'àààèà&,,"Moutarde Star 200g",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,11,Uncategorized,,,,,,,,,,,,0,
201,simple,'-&&&&_'àà&&(ç,,"Olive verte Baraka 340g",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,15,Uncategorized,,,,,,,,,,,,0,
202,simple,'-&&&&_'ààè-&_,,"Sauce Star Algerienne",1,0,hidden,,,,,taxable,,1,4,,0,0,,,,,1,,,22,Uncategorized,,,,,,,,,,,,0,
203,simple,'-&&&&_'ààçç__,,"Hot Sauce Extra Star 200g",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,11,Uncategorized,,,,,,,,,,,,0,
204,simple,'-&&&&_'ààè-é(,,"Sauce Andalouse Star 290g",1,0,hidden,,,,,taxable,,1,2,,0,0,,,,,1,,,22,Uncategorized,,,,,,,,,,,,0,
205,simple,,,"Sauce piquante Star 170g",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,12,Uncategorized,,,,,,,,,,,,0,
206,simple,"'-&&&&_'ààè-""é",,"Sauce Burger Star 290g",1,0,hidden,,,,,taxable,,1,2,,0,0,,,,,1,,,22,Uncategorized,,,,,,,,,,,,0,
207,simple,'-&&&&_'ààè-'ç,,"Sauce Biggy Tasty Star 290g",1,0,hidden,,,,,taxable,,1,2,,0,0,,,,,1,,,22,Uncategorized,,,,,,,,,,,,0,
